username,payout,points,total_payout,total_points,total_wus
by7ju709ms9h,80.81,1061353,14208.12,79261271,812
wurowf5ue5ig,7.56,36739,121346.71,78642799,1220
drn6hd0wdph6,23.46,393482,19770.89,79040523,727
37ga1q5946fh,60.38,539105,14031.51,78643222,853
lafpmt9rrqz0,17.15,150922,89951.89,78230010,796
bo907lvvfkl0,63.52,603238,22706.45,76594354,985
3jfg6nfqfhlv,14.83,116469,162048.16,75962783,3015
7fafmegnbmdg,31.17,1033640,11593.91,74464387,610
trkh1fepl66p,70.19,758797,12305.25,74361256,939
07c8j2zhiq7u,69.67,746099,66925.99,75795117,1221
p1tjcgunvp4k,41.79,745723,9137.61,74136908,643
dvt8qrzydind,124.49,2840847,4256.57,75525375,354
nzwf46k6ybrj,78.67,995305,11644.2,74796846,500
7iqrc760ksm6,19.84,469476,18790.18,75727442,658
uuq1zsdefqiz,66.9,678715,20324.5,73970955,504
etlkcw0yp4wg,5.67,14915,101136.35,75257202,6116
w1n3a6play2n,25.57,648404,13169.35,75176483,1021
7ajek02i5ljn,61.47,560694,14407.98,73698467,798
hux2t67uhis5,64.15,617234,13327.32,73680100,822
ony37ihne3pd,33.67,443137,13025.0,72173023,518
dbyi9nptk2nl,76.26,967995,19108.14,73564929,624
0s87tjvf4xn0,74.79,881643,10690.83,72083942,488
8smyl7ftkr0r,11.29,70116,134861.02,72728337,3969
hf0hruq7esdy,59.55,522533,10576.75,72686947,849
ylwgcl40bi98,34.39,134977,138709.65,73817056,650
od9u3gsyencn,64.38,622392,11824.17,71554989,775
ibuuqyta9mbn,34.26,555049,20297.81,71989887,831
104jfu1ygny0,65.28,642254,10933.48,71661624,671
gurh558e6gwx,105.03,1976104,4431.57,71197676,355
wgjas757bimy,20.57,300720,13000.99,70699829,679
l7evvj5uwzdw,17.47,186938,69805.96,71048494,2038
frgxf4dtuz8u,66.98,680622,13104.77,71490025,691
ow49oktwr5dv,29.42,487284,9736.45,70907632,609
un988e8e8axq,10.2,60663,73374.08,70641377,682
pmnkmp048giz,120.4,2655448,4486.98,70025329,633
41662v9kj5of,5.29,10658,62920.86,70609832,641
dsghw59ubj91,22.69,262703,69619.87,71401314,1184
78545avj2od7,67.39,690720,12626.37,68963039,684
lbnzcqm75lk2,83.9,1162080,4527.19,70035873,391
3jrwlkxtherf,67.48,692894,12809.48,69265266,815
r0a05hyas3vo,99.52,1745494,5193.62,68557333,667
tv6c9y733nxp,35.79,144149,12934.71,68761160,940
rwdyief9wwcj,12.08,129447,86282.09,69100429,673
fh1plordxrtp,62.71,585382,13122.76,68529526,580
h4lhwa3wgt4c,46.55,312625,13115.02,68646057,845
amb5xbfntutd,33.44,620695,11198.77,68344014,566
0fit89xqp34n,29.06,495094,69670.84,70248596,885
vd9lia15xeeu,38.35,1086310,9171.41,67437737,819
at4og5ltuiba,78.74,997515,36226.43,68413409,850
mqm0j4vo2ta1,18.94,299478,8715.89,67267501,440
urcqztqhf682,38.18,709749,11629.51,68183862,860
etxuphjk3j5c,56.87,473002,14027.61,67262451,663
4ckxn9bx9oz2,69.21,772030,5382.4,66876540,348
uvtfuchk24qb,93.19,1495608,9173.87,67694961,411
oyenzxrvdbm5,56.47,465871,14615.76,67100535,826
b4nq5n1785l5,24.3,404472,11563.56,66472664,734
aga6lpkzrkw4,73.99,859187,11093.61,65841685,385
i1dj5recg0nh,88.23,1311422,11975.46,65205908,732
gjtx0rrqa8ix,61.44,560224,18275.75,65243494,405
67rpnh3ffabu,76.7,936678,11535.46,65185135,527
twxa9cwund29,23.43,503305,12877.8,65078336,703
k7f42t4soaew,16.55,170399,68637.73,66325051,4626
10zwvo4qfucq,70.89,776863,9121.21,65077716,492
5iax5cdvbbkp,65.24,641339,12581.98,65072679,584
lsboprkbma1g,50.43,366780,18268.07,65761760,854
zbxlv3r1cp4b,65.6,649456,12812.06,65111558,702
gu8c0jqd2r1q,31.83,665113,16567.96,64951374,662
kya0d2esfebd,92.47,1467597,7455.32,64562771,492
lv05d115auuc,33.95,1004083,9588.79,64820344,649
bqtt5mupfwge,66.85,676949,12447.53,63988455,647
vy19jxdrdzzm,59.51,521698,20298.27,64101373,855
ew0m0dj9bg3s,55.91,455888,12735.7,64302144,602
hxnqhtmt2n9z,49.78,356973,12898.91,64435213,527
j5vhvc7v9omi,54.58,431933,35823.5,63782127,972
rpfxpd8b1hbr,28.2,649177,8877.06,63655306,599
begghje2s0j7,13.09,83199,95470.26,64933696,1716
zndju9el7xr2,106.57,2041718,4025.34,63188191,486
ciko1ihi5iq9,19.94,358088,13198.51,63507846,2173
mr2obdlds6t6,65.96,657328,12319.26,63595238,613
qi3epfsxbd8y,48.07,293791,32215.06,62876879,569
d9r59mxu22mm,100.28,1777069,4683.02,63657460,656
4y0x8iifdc3v,40.06,946701,7393.28,62857338,620
zlo64ngi64rn,87.66,1291312,5041.22,62529344,454
sr8od6qsdb25,6.4,35694,80110.92,63286286,4145
idhrewhf3gb6,67.94,704075,10749.88,63564467,569
v9675yhoy10h,106.14,2023189,9396.22,62687247,475
gldzulzcyjcy,134.84,3310663,3219.86,61957128,299
3v6u7rtvqg1n,115.88,2451950,5667.7,62085117,405
idb42ks0jxt5,19.61,198618,10940.18,62062472,879
