username,payout,points,total_payout,total_points,total_wus,created_at
impuxq6rtw1n,5.86,78423,5404.04,16997938,2323,2019-04-17T00:29:37.969Z
il91rwxfg223,22.77,191989,1636.02,13152542,68,2021-07-16T14:32:19.315Z
ijywxzz8u0fo,48.88,654263,3154.77,35984863,731,2021-07-21T17:47:09.531Z
ikpphgf94f0d,7.87,82323,5189.68,22296492,1211,2021-03-06T11:57:18.165Z
il87lf6x3ikv,2.19,38637,3207.45,11077884,510,2021-02-27T18:47:41.360Z
ijnk0e3v10xk,22.05,183540,1042.0,9880150,60,2021-05-12T01:01:15.778Z
ikjratsywu6q,29.62,280390,3072.65,24947794,306,2021-06-27T14:53:57.249Z
ik7e13rxeyor,63.78,483464,6033.15,37178596,445,2021-06-17T02:48:08.941Z
ikb8rzka8wwx,62.27,361004,7505.46,46665058,365,2021-06-02T13:44:31.308Z
ijel6tmayl4x,46.09,586258,3844.07,34627298,137,2021-06-02T19:10:36.778Z
ikmohywoausg,20.9,430429,41999.29,248781321,2942,2021-01-30T00:06:14.132Z
il6dfzjwdc6p,6.22,22809,4926.5,19752915,878,2021-05-20T01:58:38.114Z
iiq5qriehiuv,4.66,29151,508.66,1228674,93,2021-07-15T13:50:32.488Z
ihx9a1dmqosr,45.6,574700,1212.56,14566047,156,2021-08-11T19:49:26.415Z
iftokdbqmsvb,29.51,539089,5417.02,111338148,3142,2021-06-29T20:25:55.376Z
ih2212t2p6pc,18.91,149342,461.65,2584936,76,2021-06-14T20:07:56.790Z
ihuk7y77hf0s,6.24,39700,1716.28,11494204,476,2021-05-23T09:33:19.925Z
ij90ulaxg1mc,32.31,320637,1910.4,14525016,178,2021-06-27T02:17:56.826Z
igm35pm76q90,27.6,252593,8608.45,54653465,882,2021-04-19T15:19:10.821Z
ij75sf28yrqw,7.68,39700,8265.47,22936327,763,2021-03-13T08:03:37.896Z
ii5q4p4b9nhm,40.34,213325,6120.48,36563104,461,2021-06-17T02:48:40.210Z
ifro9lfymng2,51.46,277206,4247.63,23682510,213,2021-06-13T16:33:19.926Z
ifnxvv9dt1gl,26.69,240529,4246.91,34008865,449,2021-06-27T07:27:50.802Z
idx1dtxp92c0,2.68,13844,1360.4,2880575,200,2021-06-07T00:13:11.3Z
iep05g67nvew,32.08,317082,4529.5,35066838,452,2021-06-17T02:44:22.895Z
ifkvexbwou6h,15.12,112140,210.45,1392368,21,2021-06-10T16:11:35.95Z
id39aydtjiv1,4.43,14521,1735.14,4294753,319,2021-06-01T17:47:58.611Z
ifqzqbfwgne6,2.67,5407,2087.7,7776179,604,2021-05-07T05:01:01.139Z
idb42ks0jxt5,8.41,99894,13431.98,93627377,1464,2021-02-20T15:59:36.797Z
idhrewhf3gb6,4.66,29136,16175.89,121938585,946,2021-03-18T20:43:27.606Z
icvvzg9u5p8c,8.69,100044,2515.25,16734414,352,2021-06-01T17:32:11.779Z
ifbswnw8l1c2,1.8,6336,5932.01,2684990,506,2020-09-17T22:00:33.36Z
iclwu7w51j3w,4.73,29564,4821.67,30699418,1061,2021-05-02T12:33:55.101Z
ic22q6s2ydhe,84.77,672600,4905.8,37952442,149,2021-05-06T20:23:06.161Z
ibuuqyta9mbn,30.3,598714,25349.77,153859584,1341,2021-02-14T23:09:29.432Z
ic11b8k9a6wq,2.65,3381,590.35,230496,91,2021-05-17T09:26:57.467Z
ibx219oml7ca,3.51,21810,6794.42,14165409,1017,2021-03-01T02:32:36.208Z
ibyykvn3h5m8,4.31,9548,565.78,409841,69,2021-04-28T21:45:23.681Z
icg7v10k5xzj,142.88,2802282,23781.64,580895840,2180,2021-04-27T19:52:21.863Z
icily40pj4vu,4.52,10993,8736.28,120554444,725,2021-06-06T05:37:59.989Z
